index,latitude,longitude
660,-18.7444,126.0998
661,-18.5211,127.3473
662,-18.5255,127.3199
663,-18.5224,127.3016
664,-18.5244,127.2892
665,-18.5474,127.2614
666,-18.5521,127.2394
667,-18.5573,127.2
668,-18.5556,127.1866
669,-18.5609,127.1794
670,-18.5672,127.1484
671,-18.5703,127.1251
672,-18.5679,127.1109
673,-18.5717,127.0989
674,-18.5985,127.0726
675,-18.6186,127.062
676,-18.628,127.0436
677,-18.6355,126.9949
678,-18.6305,126.9755
679,-18.6431,126.95
680,-18.6558,126.9419
681,-18.6682,126.9069
682,-18.6925,126.8954
683,-18.7028,126.8754
684,-18.7211,126.8701
685,-18.7465,126.8391
686,-18.7544,126.8143
687,-18.7524,126.7838
688,-18.7565,126.7689
689,-18.7751,126.7492
690,-18.7822,126.7296
691,-18.7879,126.6947
692,-18.7753,126.6103
693,-18.7785,126.5879
694,-18.7883,126.5739
695,-18.8007,126.5424
696,-18.7888,126.4808
697,-18.7831,126.3963
698,-17.8477,122.5027
699,-17.9206,122.5063
700,-17.9376,122.5157
701,-17.9961,122.5795
702,-18.0152,122.5955
703,-18.0236,122.5988
704,-18.035,122.5954
705,-18.035,122.5954
706,-18.1191,122.5676
707,-18.2611,122.3988
708,-18.2829,122.2889
709,-18.2918,122.2633
710,-18.3142,122.2323
711,-18.3435,122.1993
712,-18.3662,122.1639
713,-18.4325,122.1006
714,-18.4783,122.068
715,-18.4954,122.0442
716,-18.5263,122.0197
717,-18.5263,122.0197
718,-18.5778,121.9902
719,-18.6332,121.9454
720,-18.6744,121.9167
721,-18.707,121.8992
722,-18.707,121.8992
723,-18.7418,121.8506
724,-18.8056,121.8136
725,-18.8711,121.7671
726,-18.8997,121.7547
727,-18.9418,121.7234
728,-18.9855,121.7056
729,-19.0354,121.6664
730,-19.118,121.6398
731,-19.1641,121.6409
732,-19.2071,121.6211
733,-19.2523,121.6141
734,-19.2921,121.5953
735,-19.323,121.5856
736,-19.3752,121.5276
737,-19.4245,121.5021
738,-19.4741,121.4565
739,-19.505,121.4205
740,-19.5411,121.387
741,-19.5686,121.3528
742,-19.6083,121.3243
743,-19.6345,121.2962
744,-19.6762,121.2679
745,-19.7023,121.2321
746,-19.7522,121.1886
747,-19.7719,121.1365
748,-19.7679,121.0817
749,-19.7835,121.0559
750,-19.7938,121.0113
751,-19.8199,120.9621
752,-19.8272,120.9367
753,-19.8207,120.892
754,-19.8219,120.8426
755,-19.8295,120.7838
756,-19.8227,120.7444
757,-19.8341,120.6911
758,-20.7607,117.1374
759,-20.7587,117.1
760,-20.7607,117.1374
761,-20.7682,117.1464
762,-20.7773,117.1463
763,-20.7835,117.1513
764,-20.7874,117.1993
765,-20.791,117.2066
766,-20.8119,117.2362
767,-20.8473,117.2617
768,-20.9021,117.3543
769,-26.596,118.4926
770,-26.612,118.4838
771,-26.6314,118.4657
772,-26.6787,118.4519
773,-26.7248,118.4265
774,-26.7398,118.4003
775,-26.8725,118.3594
776,-20.8363,117.8391
777,-20.849,117.7879
778,-20.9141,117.7316
779,-20.9234,117.7176
780,-20.9438,117.6692
781,-20.9498,117.6412
782,-20.9375,117.5852
783,-20.9365,117.5423
784,-20.9415,117.5203
785,-20.9296,117.4395
786,-20.901,117.3773
787,-20.9021,117.3543
788,-20.5712,118.437
789,-20.5353,118.4566
790,-20.5266,118.4682
791,-20.5142,118.5
792,-20.5712,118.437
793,-20.6065,118.415
794,-20.6567,118.3677
795,-20.6907,118.3237
796,-20.7085,118.2842
797,-20.7572,118.2258
798,-20.7866,118.1694
799,-20.846,118.0721
800,-20.8565,118.0608
801,-20.8626,118.0302
802,-24.8622,113.7023
803,-24.9019,113.7103
804,-24.9141,113.7223
805,-24.9553,113.74
806,-24.9667,113.751
807,-25.0151,113.7768
808,-24.7363,113.757
809,-24.7299,113.759
810,-24.7138,113.7973
811,-24.7066,113.7991
812,-24.6694,113.8303
813,-24.6367,113.8458
814,-24.5885,113.9168
815,-24.5161,113.9791
816,-24.8392,113.7667
817,-24.8334,113.7718
818,-24.8097,113.7648
819,-24.7363,113.757
820,-17.5429,146.0263
821,-17.5221,146.031
822,-17.5257,146.0131
823,-17.5174,146.0104
824,-17.5147,145.9908
825,-34.1703,142.1815
826,-34.1874,142.1707
827,-34.184,142.1643
828,-34.2067,142.1367
829,-24.5161,113.9791
830,-24.4665,113.9865
831,-24.4356,114.0014
832,-24.3916,114.0102
833,-24.3739,114.0253
834,-24.3413,114.0232
835,-24.3036,114.0454
836,-24.274,114.0435
837,-24.2195,114.0304
838,-24.1797,114.0398
839,-24.159,114.0511
840,-24.112,114.0506
841,-24.0729,114.0421
842,-28.6755,151.9206
843,-28.6821,151.9201
844,-28.692,151.9069
845,-28.7126,151.9005
846,-28.7399,151.875
847,-28.7695,151.8597
848,-28.7842,151.8424
849,-28.7946,151.8377
850,-28.8112,151.8452
851,-28.8213,151.8439
852,-28.8293,151.8547
853,-28.8576,151.8564
854,-28.869,151.878
855,-28.8936,151.9029
856,-28.9242,151.9303
857,-28.9333,151.9255
858,-28.6506,151.9197
859,-28.638,151.9488
860,-28.6318,151.9536
861,-28.6161,151.9556
862,-28.5292,151.9501
863,-28.4913,151.9707
864,-28.456,151.9597
865,-28.4465,151.9494
866,-28.433,151.948
867,-28.4175,151.9337
868,-28.4027,151.9092
869,-28.3398,151.9225
870,-28.321,151.9187
871,-28.291,151.9378
872,-28.2886,151.9713
873,-28.2735,152.0055
874,-28.2184,152.02
875,-18.5827,146.2007
876,-18.6074,146.1847
877,-18.622,146.1665
878,-18.6455,146.1625
879,-30.6462,151.4923
880,-30.6715,151.482
881,-30.7189,151.4543
882,-30.7414,151.4022
883,-30.762,151.3687
884,-30.7646,151.3562
885,-30.7783,151.3434
886,-30.7848,151.3244
887,-30.7929,151.3167
888,-30.7868,151.2828
889,-30.7934,151.2674
890,-30.8089,151.2518
891,-30.8069,151.2349
892,-30.8287,151.2182
893,-30.8532,151.2134
894,-30.869,151.2017
895,-30.8739,151.1879
896,-30.87,151.1807
897,-30.8714,151.1708
898,-30.8816,151.1547
899,-34.3226,142.1898
900,-34.4194,142.1903
901,-34.4705,142.2061
902,-34.5299,142.2112
903,-34.576,142.2244
904,-34.6192,142.2291
905,-34.6907,142.2615
906,-34.7637,142.2814
907,-27.1793,151.2592
908,-27.1769,151.2527
909,-15.9321,129.7217
910,-15.9321,129.7526
911,-15.9085,129.7735
912,-15.9008,129.8097
913,-15.892,129.8245
914,-15.8809,129.865
915,-15.8508,129.9044
916,-15.808,129.9395
