index,latitude,longitude
900,-17.5748,146.0407
901,-17.5756,146.0412
902,-17.5765,146.0416
903,-17.5773,146.0421
904,-17.578,146.0415
905,-17.5788,146.0409
906,-17.5795,146.0403
907,-17.5803,146.0397
908,-17.581,146.0392
909,-17.5818,146.0386
910,-17.5825,146.038
911,-17.5833,146.0374
912,-17.584,146.0368
913,-17.5848,146.0362
914,-17.5855,146.0356
915,-17.5863,146.035
916,-17.587,146.0345
917,-17.5878,146.0339
918,-17.5885,146.0333
919,-17.5893,146.0327
920,-17.59,146.0321
921,-17.591,146.032
922,-17.592,146.032
923,-17.5929,146.0319
924,-17.5939,146.0318
925,-17.5949,146.0318
926,-17.5959,146.0317
927,-17.5969,146.0316
928,-17.5979,146.0316
929,-17.5988,146.0315
930,-17.5998,146.0314
931,-17.6008,146.0314
932,-17.6018,146.0313
933,-17.6028,146.0312
934,-17.6038,146.0312
935,-17.6047,146.0311
936,-17.6057,146.0311
937,-17.6067,146.031
938,-17.6077,146.0309
939,-17.6087,146.0309
940,-17.6097,146.0308
941,-17.6106,146.0307
942,-17.6116,146.0307
943,-17.6126,146.0306
944,-17.6136,146.0305
945,-17.6146,146.0305
946,-17.6155,146.0304
947,-17.6165,146.0303
948,-17.6175,146.0303
949,-17.6185,146.0302
950,-17.6195,146.0301
951,-17.6205,146.0301
952,-17.6214,146.03
953,-17.6224,146.0299
954,-17.6234,146.0299
955,-17.6244,146.0298
956,-17.6254,146.0297
957,-17.6264,146.0297
958,-17.6273,146.0296
959,-17.6283,146.0295
960,-17.6293,146.0295
961,-17.6303,146.0294
962,-17.6313,146.0294
963,-17.6323,146.0293
964,-17.6332,146.0292
965,-17.6342,146.0292
966,-17.6352,146.0291
967,-17.6362,146.029
968,-17.6372,146.029
969,-17.6382,146.0289
970,-17.6391,146.0288
971,-17.6401,146.0288
972,-17.6411,146.0287
973,-17.642,146.0291
974,-17.6429,146.0295
975,-17.6438,146.0299
976,-17.6447,146.0302
977,-17.6456,146.0306
978,-17.6464,146.031
979,-17.6473,146.0314
980,-17.6482,146.0318
981,-17.6491,146.0322
982,-17.65,146.0325
983,-17.6509,146.0329
984,-17.6518,146.0333
985,-17.6527,146.0337
986,-17.6536,146.0341
987,-17.6545,146.0345
988,-17.6553,146.0349
989,-17.6562,146.0352
990,-17.6571,146.0356
991,-17.658,146.036
992,-17.6589,146.0364
993,-17.6598,146.0364
994,-17.6608,146.0364
995,-17.6617,146.0363
996,-17.6627,146.0363
997,-17.6636,146.0363
998,-17.6646,146.0363
999,-17.6655,146.0362
1000,-17.6665,146.0362
1001,-17.6674,146.0362
1002,-17.6681,146.0368
1003,-17.6689,146.0374
1004,-17.6696,146.038
1005,-17.6704,146.0386
1006,-17.6711,146.0392
1007,-17.6718,146.0398
1008,-17.6726,146.0404
1009,-17.6733,146.041
1010,-17.674,146.0416
1011,-17.6748,146.0422
1012,-17.6755,146.0428
1013,-17.6763,146.0434
1014,-17.677,146.044
1015,-17.678,146.0441
1016,-17.679,146.0441
1017,-17.68,146.0442
1018,-17.681,146.0442
1019,-17.682,146.0443
1020,-17.683,146.0444
1021,-17.6839,146.0444
1022,-17.6849,146.0445
1023,-17.6859,146.0446
1024,-17.6869,146.0446
1025,-17.6879,146.0447
1026,-17.6889,146.0447
1027,-17.6899,146.0448
1028,-17.6906,146.0454
1029,-17.6914,146.046
